,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
31,13.026,168.201,14.211,520.846,1869.769,74.729,0.0,REFPROP::R1336MZZZ
32,13.026,75.0,13.5,293.766,1299.371,9.158,0.0,REFPROP::R1336MZZZ
33,13.026,28.445,13.5,234.503,1116.81,1.587,0.0,REFPROP::R1336MZZZ
34,13.026,9.99,0.393,234.503,1122.572,-0.045,0.13,REFPROP::R1336MZZZ
35,13.026,9.99,0.393,386.947,1660.978,-0.05,1.0,REFPROP::R1336MZZZ
36,13.026,75.0,0.393,444.497,1843.539,5.807,0.0,REFPROP::R1336MZZZ
21,10.0,70.0,5.0,293.449,954.853,23.741,0.0,REFPROP::water
22,10.0,140.0,5.0,589.251,1739.075,97.491,0.0,REFPROP::water
11,197424.859,10.0,1.013,409.342,3828.601,-0.0,0.0,REFPROP::air
12,197424.859,9.99,1.013,409.332,3828.566,0.0,0.0,REFPROP::air
