,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,12.237,10.0,4.146,213.577,1048.472,30.662,0,REFPROP::R134a
62,12.237,12.02,50.0,217.195,1048.472,34.279,0,REFPROP::R134a
63,12.237,16.964,50.0,223.886,1071.736,34.383,0,REFPROP::R134a
64,12.237,131.0,50.0,465.613,1752.075,83.472,0,REFPROP::R134a
65,12.237,19.214,4.146,412.939,1752.075,30.799,0,REFPROP::R134a
66,12.237,12.02,4.146,406.222,1728.811,30.668,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,234361.316,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,234361.316,10.01,1.013,409.353,3828.637,0.0,0,REFPROP::air
