,m [kg/s],T [°C],p [bar],h [kJ/kg],s [J/kgK],e^PH [kJ/kg],x [-],fluid
61,12.428,10.0,4.146,213.577,1048.472,30.662,0,REFPROP::R134a
62,12.428,12.494,50.0,217.833,1050.709,34.284,0,REFPROP::R134a
63,12.428,24.448,50.0,234.145,1106.648,34.757,0,REFPROP::R134a
64,12.428,134.5,50.0,472.15,1768.182,85.449,0,REFPROP::R134a
65,12.428,30.227,4.146,423.136,1786.31,31.301,0,REFPROP::R134a
66,12.428,12.494,4.146,406.667,1730.371,30.672,0,REFPROP::R134a
51,10.0,140.0,5.0,589.251,1739.075,97.491,0,REFPROP::water
52,10.0,70.0,5.0,293.449,954.853,23.741,0,REFPROP::water
41,238571.484,10.0,1.013,409.342,3828.601,-0.0,0,REFPROP::air
42,238571.484,10.01,1.013,409.353,3828.637,0.0,0,REFPROP::air
